#       xJ          yJ
#
  0.999800   0.000000
  1.000050   0.000000
  1.000300   0.000039
  1.000550   0.000000
  1.000800   0.000000
  1.001050   0.000000
  1.001300   0.000676
  1.001550   0.000104
  1.001800   0.000000
  1.002050   0.000000
  1.002300   0.000395
  1.002550   0.000686
  1.002800   0.000479
  1.003050   0.000712
  1.003300   0.001034
  1.003550   0.000552
  1.003800   0.000087
  1.004050   0.000967
  1.004300   0.001480
  1.004550   0.000486
  1.004800   0.000000
  1.005050   0.000087
  1.005300   0.000000
  1.005550   0.000000
  1.005800   0.000117
  1.006050   0.001158
  1.006300   0.000642
  1.006550   0.000000
  1.006800   0.000000
  1.007050   0.000046
  1.007300   0.000000
  1.007550   0.000000
  1.007800   0.001180
  1.008050   0.001095
  1.008300   0.000000
  1.008550   0.000000
  1.008800   0.000000
  1.009050   0.000000
  1.009300   0.000209
  1.009550   0.000649
  1.009800   0.001207
  1.010050   0.000454
  1.010300   0.000000
  1.010550   0.000000
  1.010800   0.000594
  1.011050   0.000000
  1.011300   0.000000
  1.011550   0.000000
  1.011800   0.000000
  1.012050   0.000000
  1.012300   0.000045
  1.012550   0.000544
  1.012800   0.000569
  1.013050   0.000159
  1.013300   0.000196
  1.013550   0.000443
  1.013800   0.000000
  1.014050   0.000000
  1.014300   0.000000
  1.014550   0.000910
  1.014800   0.000075
  1.015050   0.000000
  1.015300   0.000044
  1.015550   0.000000
  1.015800   0.000000
  1.016050   0.000000
  1.016300   0.000542
  1.016550   0.000562
  1.016800   0.000000
  1.017050   0.000000
  1.017300   0.000000
  1.017550   0.000000
  1.017800   0.000000
  1.018050   0.000483
  1.018300   0.000800
  1.018550   0.000000
  1.018800   0.000000
  1.019050   0.000000
  1.019300   0.000080
  1.019550   0.000217
  1.019800   0.000439
  1.020050   0.000983
  1.020300   0.000489
  1.020550   0.000000
  1.020800   0.000000
  1.021050   0.000772
  1.021300   0.000102
  1.021550   0.000000
  1.021800   0.000359
  1.022050   0.000000
  1.022300   0.000000
  1.022550   0.000000
  1.022800   0.000050
  1.023050   0.000396
  1.023300   0.000631
  1.023550   0.000718
  1.023800   0.000725
  1.024050   0.000000
  1.024300   0.000000
  1.024550   0.000000
  1.024800   0.000496
  1.025050   0.000000
  1.025300   0.000000
  1.025550   0.000777
  1.025800   0.000694
  1.026050   0.000000
  1.026300   0.000000
  1.026550   0.000881
  1.026800   0.001301
  1.027050   0.000552
  1.027300   0.000000
  1.027550   0.000000
  1.027800   0.000303
  1.028050   0.000000
  1.028300   0.000000
  1.028550   0.000322
  1.028800   0.000000
  1.029050   0.000000
  1.029300   0.000000
  1.029550   0.000000
  1.029800   0.000000
  1.030050   0.000526
  1.030300   0.001068
  1.030550   0.000179
  1.030800   0.000000
  1.031050   0.000000
  1.031300   0.000000
  1.031550   0.000000
  1.031800   0.000000
  1.032050   0.000851
  1.032300   0.000637
  1.032550   0.000000
  1.032800   0.000000
  1.033050   0.000510
  1.033300   0.000460
  1.033550   0.000000
  1.033800   0.000631
  1.034050   0.000707
