#       xK          yK
#
  2.496000   0.000313
  2.495500   0.000266
  2.495000   0.000381
  2.494500   0.000327
  2.494000   0.000494
  2.493500   0.000308
  2.493000   0.000387
  2.492500   0.000399
  2.492000   0.000420
  2.491500   0.000461
  2.491000   0.000423
  2.490500   0.000423
  2.490000   0.000450
  2.489500   0.000406
  2.489000   0.000405
  2.488500   0.000428
  2.488000   0.000552
  2.487500   0.000499
  2.487000   0.000580
  2.486500   0.000625
  2.486000   0.000544
  2.485500   0.000550
  2.485000   0.000620
  2.484500   0.000556
  2.484000   0.000646
  2.483500   0.000670
  2.483000   0.000779
  2.482500   0.000737
  2.482000   0.000735
  2.481500   0.000765
  2.481000   0.000763
  2.480500   0.000724
  2.480000   0.000797
  2.479500   0.000933
  2.479000   0.000978
  2.478500   0.000933
  2.478000   0.000902
  2.477500   0.000951
  2.477000   0.000965
  2.476500   0.001106
  2.476000   0.001006
  2.475500   0.001095
  2.475000   0.001124
  2.474500   0.001232
  2.474000   0.001272
  2.473500   0.001297
  2.473000   0.001208
  2.472500   0.001304
  2.472000   0.001430
  2.471500   0.001449
  2.471000   0.001489
  2.470500   0.001612
  2.470000   0.001636
  2.469500   0.001616
  2.469000   0.001726
  2.468500   0.001740
  2.468000   0.001652
  2.467500   0.001955
  2.467000   0.001993
  2.466500   0.002085
  2.466000   0.002066
  2.465500   0.002155
  2.465000   0.002352
  2.464500   0.002370
  2.464000   0.002385
  2.463500   0.002439
  2.463000   0.002503
  2.462500   0.002694
  2.462000   0.002892
  2.461500   0.003013
  2.461000   0.002850
  2.460500   0.003226
  2.460000   0.003287
  2.459500   0.003280
  2.459000   0.003429
  2.458500   0.003690
  2.458000   0.003624
  2.457500   0.003966
  2.457000   0.004086
  2.456500   0.004131
  2.456000   0.004270
  2.455500   0.004510
  2.455000   0.004633
  2.454500   0.005016
  2.454000   0.004975
  2.453500   0.005083
  2.453000   0.005353
  2.452500   0.005611
  2.452000   0.005766
  2.451500   0.006033
  2.451000   0.006244
  2.450500   0.006613
  2.450000   0.006792
  2.449500   0.007002
  2.449000   0.007350
  2.448500   0.007687
  2.448000   0.007952
  2.447500   0.008378
  2.447000   0.008623
  2.446500   0.008940
  2.446000   0.009317
  2.445500   0.009737
  2.445000   0.010311
  2.444500   0.010592
  2.444000   0.011005
  2.443500   0.011570
  2.443000   0.011895
  2.442500   0.012563
  2.442000   0.013137
  2.441500   0.013649
  2.441000   0.014106
  2.440500   0.014727
  2.440000   0.015570
  2.439500   0.016162
  2.439000   0.016815
  2.438500   0.017621
  2.438000   0.018414
  2.437500   0.019112
  2.437000   0.019926
  2.436500   0.020890
  2.436000   0.021851
  2.435500   0.023001
  2.435000   0.023861
  2.434500   0.024925
  2.434000   0.026128
  2.433500   0.027267
  2.433000   0.028784
