#      xKs         yKs
#
  2.396000   0.000224
  2.395500   0.000252
  2.395000   0.000254
  2.394500   0.000262
  2.394000   0.000325
  2.393500   0.000277
  2.393000   0.000351
  2.392500   0.000228
  2.392000   0.000282
  2.391500   0.000350
  2.391000   0.000278
  2.390500   0.000271
  2.390000   0.000368
  2.389500   0.000336
  2.389000   0.000329
  2.388500   0.000442
  2.388000   0.000412
  2.387500   0.000400
  2.387000   0.000487
  2.386500   0.000494
  2.386000   0.000459
  2.385500   0.000561
  2.385000   0.000461
  2.384500   0.000470
  2.384000   0.000566
  2.383500   0.000524
  2.383000   0.000519
  2.382500   0.000568
  2.382000   0.000612
  2.381500   0.000577
  2.381000   0.000618
  2.380500   0.000659
  2.380000   0.000722
  2.379500   0.000691
  2.379000   0.000756
  2.378500   0.000716
  2.378000   0.000669
  2.377500   0.000854
  2.377000   0.000867
  2.376500   0.000866
  2.376000   0.000776
  2.375500   0.000949
  2.375000   0.000833
  2.374500   0.000945
  2.374000   0.000966
  2.373500   0.001022
  2.373000   0.000859
  2.372500   0.000980
  2.372000   0.001077
  2.371500   0.001242
  2.371000   0.001244
  2.370500   0.001312
  2.370000   0.001285
  2.369500   0.001335
  2.369000   0.001464
  2.368500   0.001485
  2.368000   0.001585
  2.367500   0.001600
  2.367000   0.001637
  2.366500   0.001771
  2.366000   0.001820
  2.365500   0.001937
  2.365000   0.001846
  2.364500   0.001897
  2.364000   0.002097
  2.363500   0.002267
  2.363000   0.002300
  2.362500   0.002356
  2.362000   0.002472
  2.361500   0.002634
  2.361000   0.002669
  2.360500   0.002821
  2.360000   0.002948
  2.359500   0.003097
  2.359000   0.003198
  2.358500   0.003359
  2.358000   0.003437
  2.357500   0.003621
  2.357000   0.003814
  2.356500   0.003967
  2.356000   0.004116
  2.355500   0.004326
  2.355000   0.004424
  2.354500   0.004597
  2.354000   0.004871
  2.353500   0.005111
  2.353000   0.005342
  2.352500   0.005557
  2.352000   0.005756
  2.351500   0.006010
  2.351000   0.006262
  2.350500   0.006685
  2.350000   0.007002
  2.349500   0.007227
  2.349000   0.007544
  2.348500   0.008034
  2.348000   0.008297
  2.347500   0.008634
  2.347000   0.009048
  2.346500   0.009531
  2.346000   0.009963
  2.345500   0.010382
  2.345000   0.010938
  2.344500   0.011288
  2.344000   0.011956
  2.343500   0.012482
  2.343000   0.013026
  2.342500   0.013543
  2.342000   0.014295
  2.341500   0.014911
  2.341000   0.015453
  2.340500   0.016374
  2.340000   0.017092
  2.339500   0.017797
  2.339000   0.018653
  2.338500   0.019636
  2.338000   0.020532
  2.337500   0.021476
  2.337000   0.022423
  2.336500   0.023403
  2.336000   0.024567
  2.335500   0.025507
  2.335000   0.027036
  2.334500   0.028168
  2.334000   0.029308
  2.333500   0.030746
  2.333000   0.032016
  2.332500   0.033772
  2.332000   0.035297
  2.331500   0.036825
  2.331000   0.038509
  2.330500   0.040290
  2.330000   0.042118
  2.329500   0.044228
  2.329000   0.046249
  2.328500   0.048401
  2.328000   0.050615
  2.327500   0.052925
  2.327000   0.055224
  2.326500   0.057926
  2.326000   0.060762
  2.325500   0.063689
  2.325000   0.067030
  2.324500   0.069971
  2.324000   0.073114
  2.323500   0.076473
  2.323000   0.080313
  2.322500   0.084401
  2.322000   0.087946
  2.321500   0.092629
  2.321000   0.096798
  2.320500   0.101460
  2.320000   0.106261
  2.319500   0.111958
  2.319000   0.117941
  2.318500   0.123407
  2.318000   0.129710
  2.317500   0.135757
  2.317000   0.142110
  2.316500   0.150160
  2.316000   0.158273
  2.315500   0.165983
  2.315000   0.173426
  2.314500   0.181695
  2.314000   0.190497
  2.313500   0.200540
  2.313000   0.211336
  2.312500   0.222285
  2.312000   0.233500
  2.311500   0.244337
  2.311000   0.256132
  2.310500   0.269664
  2.310000   0.284291
  2.309500   0.299068
  2.309000   0.312671
  2.308500   0.328116
  2.308000   0.342740
  2.307500   0.359617
  2.307000   0.377706
  2.306500   0.396076
  2.306000   0.414740
  2.305500   0.432874
  2.305000   0.450964
  2.304500   0.470472
  2.304000   0.493639
  2.303500   0.515555
  2.303000   0.532241
  2.302500   0.555933
  2.302000   0.574713
  2.301500   0.596830
  2.301000   0.618429
  2.300500   0.641440
  2.300000   0.664664
  2.299500   0.682266
  2.299000   0.703041
  2.298500   0.724752
  2.298000   0.743216
  2.297500   0.765361
  2.297000   0.783986
  2.296500   0.800169
  2.296000   0.816131
  2.295500   0.830921
  2.295000   0.846862
  2.294500   0.860427
  2.294000   0.873839
  2.293500   0.886409
  2.293000   0.896791
  2.292500   0.906928
  2.292000   0.915971
  2.291500   0.924843
  2.291000   0.932890
  2.290500   0.939260
  2.290000   0.944539
  2.289500   0.949425
  2.289000   0.953617
  2.288500   0.957720
  2.288000   0.960897
  2.287500   0.963502
  2.287000   0.965851
  2.286500   0.966676
  2.286000   0.967548
  2.285500   0.968307
  2.285000   0.968913
  2.284500   0.969168
  2.284000   0.969398
  2.283500   0.968572
  2.283000   0.968034
  2.282500   0.967898
  2.282000   0.967268
  2.281500   0.966501
  2.281000   0.965441
  2.280500   0.964137
  2.280000   0.963287
  2.279500   0.962424
  2.279000   0.961524
  2.278500   0.960484
  2.278000   0.959224
  2.277500   0.958604
  2.277000   0.957481
  2.276500   0.957129
  2.276000   0.956268
  2.275500   0.955406
  2.275000   0.954581
  2.274500   0.954264
  2.274000   0.953340
  2.273500   0.953362
  2.273000   0.952686
  2.272500   0.951982
  2.272000   0.951601
  2.271500   0.951463
  2.271000   0.951544
  2.270500   0.951044
  2.270000   0.950646
  2.269500   0.950496
  2.269000   0.950539
  2.268500   0.950394
  2.268000   0.950729
  2.267500   0.950531
  2.267000   0.950447
  2.266500   0.950228
  2.266000   0.950602
  2.265500   0.950428
  2.265000   0.950326
  2.264500   0.950386
  2.264000   0.950227
  2.263500   0.950318
  2.263000   0.950146
  2.262500   0.950293
  2.262000   0.950066
  2.261500   0.950071
  2.261000   0.949998
  2.260500   0.950104
  2.260000   0.949914
  2.259500   0.949478
  2.259000   0.949528
  2.258500   0.949559
  2.258000   0.949076
  2.257500   0.949020
  2.257000   0.948715
  2.256500   0.948699
  2.256000   0.948652
  2.255500   0.948178
  2.255000   0.948192
  2.254500   0.947864
  2.254000   0.947562
  2.253500   0.947358
  2.253000   0.947355
  2.252500   0.946769
  2.252000   0.947013
  2.251500   0.946158
  2.251000   0.946132
  2.250500   0.946505
  2.250000   0.945787
  2.249500   0.945629
  2.249000   0.945302
  2.248500   0.945257
  2.248000   0.945138
  2.247500   0.945055
  2.247000   0.945415
  2.246500   0.944817
  2.246000   0.944855
  2.245500   0.945077
  2.245000   0.945195
  2.244500   0.945026
  2.244000   0.945263
  2.243500   0.945026
  2.243000   0.944919
  2.242500   0.945946
  2.242000   0.945308
  2.241500   0.945723
  2.241000   0.946007
  2.240500   0.946120
  2.240000   0.946761
  2.239500   0.946842
  2.239000   0.947488
  2.238500   0.947411
  2.238000   0.948042
  2.237500   0.948528
  2.237000   0.948691
  2.236500   0.949154
  2.236000   0.949276
  2.235500   0.949849
  2.235000   0.950584
  2.234500   0.951158
  2.234000   0.951505
  2.233500   0.952124
  2.233000   0.952244
  2.232500   0.952932
  2.232000   0.953180
  2.231500   0.954246
  2.231000   0.954613
  2.230500   0.954940
  2.230000   0.955649
  2.229500   0.955865
  2.229000   0.956343
  2.228500   0.956743
  2.228000   0.957326
  2.227500   0.958040
  2.227000   0.958422
  2.226500   0.958225
  2.226000   0.959002
  2.225500   0.959284
  2.225000   0.959427
  2.224500   0.960057
  2.224000   0.960310
  2.223500   0.960547
  2.223000   0.960906
  2.222500   0.961147
  2.222000   0.961314
  2.221500   0.961515
  2.221000   0.961392
  2.220500   0.961646
  2.220000   0.961846
  2.219500   0.961561
  2.219000   0.962123
  2.218500   0.962117
  2.218000   0.961704
  2.217500   0.961755
  2.217000   0.961687
  2.216500   0.961737
  2.216000   0.961344
  2.215500   0.961226
  2.215000   0.960889
  2.214500   0.960893
  2.214000   0.961213
  2.213500   0.960947
  2.213000   0.960386
  2.212500   0.959843
  2.212000   0.959809
  2.211500   0.959821
  2.211000   0.959554
  2.210500   0.958923
  2.210000   0.958800
  2.209500   0.958676
  2.209000   0.958274
  2.208500   0.957850
  2.208000   0.957442
  2.207500   0.957408
  2.207000   0.957329
  2.206500   0.956940
  2.206000   0.956600
  2.205500   0.956291
  2.205000   0.956166
  2.204500   0.955890
  2.204000   0.955638
  2.203500   0.955585
  2.203000   0.955326
  2.202500   0.955422
  2.202000   0.955302
  2.201500   0.954953
  2.201000   0.954851
  2.200500   0.954987
  2.200000   0.954719
  2.199500   0.955159
  2.199000   0.955029
  2.198500   0.954683
  2.198000   0.954835
  2.197500   0.954696
  2.197000   0.954852
  2.196500   0.955276
  2.196000   0.955229
  2.195500   0.954861
  2.195000   0.955374
  2.194500   0.955832
  2.194000   0.955724
  2.193500   0.955861
  2.193000   0.956252
  2.192500   0.956337
  2.192000   0.956462
  2.191500   0.957186
  2.191000   0.957091
  2.190500   0.957024
  2.190000   0.957379
  2.189500   0.957918
  2.189000   0.957589
  2.188500   0.958138
  2.188000   0.958197
  2.187500   0.958535
  2.187000   0.958935
  2.186500   0.959091
  2.186000   0.959080
  2.185500   0.959078
  2.185000   0.959411
  2.184500   0.959819
  2.184000   0.959924
  2.183500   0.959991
  2.183000   0.959932
  2.182500   0.960362
  2.182000   0.960655
  2.181500   0.960591
  2.181000   0.960462
  2.180500   0.960533
  2.180000   0.960372
  2.179500   0.960555
  2.179000   0.960383
  2.178500   0.960317
  2.178000   0.959926
  2.177500   0.960298
  2.177000   0.960111
  2.176500   0.960045
  2.176000   0.959768
  2.175500   0.959651
  2.175000   0.958531
  2.174500   0.958826
  2.174000   0.958802
  2.173500   0.958049
  2.173000   0.957798
  2.172500   0.957503
  2.172000   0.957326
  2.171500   0.956824
  2.171000   0.956342
  2.170500   0.955694
  2.170000   0.955252
  2.169500   0.954641
  2.169000   0.954698
  2.168500   0.953900
  2.168000   0.953171
  2.167500   0.952850
  2.167000   0.952506
  2.166500   0.951742
  2.166000   0.951608
  2.165500   0.950612
  2.165000   0.950134
  2.164500   0.949581
  2.164000   0.948647
  2.163500   0.948430
  2.163000   0.947842
  2.162500   0.947169
  2.162000   0.946894
  2.161500   0.946107
  2.161000   0.945883
  2.160500   0.945293
  2.160000   0.944574
  2.159500   0.944277
  2.159000   0.943446
  2.158500   0.942812
  2.158000   0.942405
  2.157500   0.941906
  2.157000   0.941789
  2.156500   0.941547
  2.156000   0.940959
  2.155500   0.940690
  2.155000   0.939480
  2.154500   0.939047
  2.154000   0.938937
  2.153500   0.938628
  2.153000   0.938189
  2.152500   0.937641
  2.152000   0.937315
  2.151500   0.937037
  2.151000   0.937016
  2.150500   0.936834
  2.150000   0.936036
  2.149500   0.935692
  2.149000   0.935380
  2.148500   0.935637
  2.148000   0.934798
  2.147500   0.934605
  2.147000   0.933984
  2.146500   0.934172
  2.146000   0.933947
  2.145500   0.933973
  2.145000   0.933578
  2.144500   0.933215
  2.144000   0.932776
  2.143500   0.932503
  2.143000   0.932039
  2.142500   0.931957
  2.142000   0.931847
  2.141500   0.931523
  2.141000   0.931378
  2.140500   0.931098
  2.140000   0.931160
  2.139500   0.930481
  2.139000   0.930011
  2.138500   0.929893
  2.138000   0.929962
  2.137500   0.929404
  2.137000   0.929334
  2.136500   0.929140
  2.136000   0.928958
  2.135500   0.928846
  2.135000   0.928334
  2.134500   0.928197
  2.134000   0.927805
  2.133500   0.927482
  2.133000   0.927342
  2.132500   0.927097
  2.132000   0.927050
  2.131500   0.926847
  2.131000   0.926458
  2.130500   0.926371
  2.130000   0.925981
  2.129500   0.925971
  2.129000   0.925692
  2.128500   0.925577
  2.128000   0.925517
  2.127500   0.925317
  2.127000   0.924833
  2.126500   0.924808
  2.126000   0.925050
  2.125500   0.924848
  2.125000   0.924965
  2.124500   0.924857
  2.124000   0.924784
